01001       594.436         54571        5908       18110       24661
01003      1589.784        182265       18409       72780       94090
01005       884.876         27457        4848        5431       10390
01007       622.582         22915        1874        6733        8748
01009       644.776         57322        2150       22808       25384
01011       622.805         10914        3530        1139        4701
01013       776.829         20947        3716        4891        8685
01015       605.868        118572       13197       32803       47376
01017       596.531         34215        5763        7803       13778
01019       553.700         25989        1524        8809       10503
01021       692.854         43643        2909       15068       18255
01023       913.500         13859        3109        4102        7268
01025      1238.465         25833        5712        7109       12936
01027       603.961         13932        1234        5230        6572
01029       560.100         14972         684        5738        6532
01031       678.972         49948        4194       15825       20513
01033       592.619         54428        7296       16718       24626
01035       850.156         13228        3069        3413        6543
01037       650.926         11539        1780        3376        5223
01039      1030.456         37765        2379       13222       15818
01041       608.840         13906        1663        4511        6252
01043       734.841         80406        3730       32734       37278
01045       561.150         50251        4408       13798       18617
01047       978.695         43820       12826        5784       18730
01049       777.093         71109        3682       21779       26086
01051       618.485         79303        8436       27619       36905
01053       945.080         38319        4698       10282       15213
01055       534.991        104430       10350       32132       43474
01057       627.660         17241        1358        6705        8196
01059       633.821         31704        2197        9466       11955
01061       574.408         26790        1522        9967       11659
01063       647.110          9045        4006         838        4862
01065       643.943         15760        4772        3172        8010
01067       561.750         17302        2286        5623        8017
01069       579.824        101547       10547       30567       42030
01071      1077.868         53227        3663       16643       20785
01073      1111.276        658466      151581      130614      290111
01075       604.846         14564        1035        5819        6931
01077       667.697         92709        9877       27735       38813
01079       690.678         34339        3611       10732       14623
01081       607.536        140247       20987       34321       57668
01083       559.936         82782        9340       28824       39400
01085       715.911         11299        4882        1751        6676
01087       608.885         21452        7237        1394        8748
01089       801.593        334811       62435       89199      159473
01091       976.882         21027        5607        5224       10948
01093       742.292         30776        1432       11273       12912
01095       565.842         93019        4913       29217       34965
01097      1229.435        412992       68429       91087      163387
01099      1025.675         23068        4310        5771       10185
01101       784.247        229363       58669       33928       94572
01103       579.337        119490       11216       37392       49991
01105       719.664         10591        3823        1403        5255
01107       881.408         19746        3972        5454        9494
01109       672.094         32899        5039        7681       13025
01111       580.550         22913        2290        7697       10130
01113       641.140         52947        9577        9210       19136
01115       631.902         83593        5550       31579       37937
01117       784.930        195085       22927       72846       99208
01119       903.887         13763        4739        1581        6391
01121       736.775         82291       12108       20596       33218
01123       716.521         41616        5271       12967       18504
01125      1321.755        194656       31746       47701       81708
01127       791.192         67023        4486       24208       29243
01129      1080.207         17581        2366        6031        8492
01131       888.498         11670        4329        1737        6095
01133       612.979         24484         871        9225       10255
04001     11197.521         71518       12196        5315       18659
04003      6165.690        131346       15291       25036       43147
04005     18618.885        134421       25308       16573       44929
04007      4757.933         53597        6746       13672       21398
04009      4622.597         37220        3301        8025       11939
04011      1843.126          8437        1092        1892        3243
04012      4499.629         20489        1318        3381        4931
04013      9200.143       3817117      549040      590465     1201934
04015     13311.084        200186       16485       54656       74189
04017      9950.422        107449       15362       18165       35409
04019      9187.036        980263      195649      147019      360762
04021      5365.612        375770       35737       53857       93805
04023      1236.916         47420       10684        3650       14926
04025      8123.499        211033       29705       58862       92780
04027      5513.992        195751       18336       20586       40759
05001       988.770         19019        1939        3825        6167
05003       925.349         21853        2408        5338        8027
05005       554.283         41513        4163       14655       19572
05007       847.357        221339       27894       60751       94262
05009       590.231         36903        2925       12225       15912
05011       649.231         11508        1317        2163        3617
05013       628.581          5368         636        1554        2250
05015       630.087         27446        3334        6773       10656
05017       644.304         11800        2350        1716        4149
05019       866.074         22995        3606        4398        8365
05021       639.465         16083        1999        3779        5978
05023       553.692         25970        2101        9454       11968
05025       597.783          8689         723        2460        3299
05027       766.053         24552        3140        5456        8837
05029       552.250         21273        2655        4844        7837
05031       707.206         96443       10474       22798       34968
05033       593.094         61948        4476       16655       22155
05035       609.760         50902        8368        6953       15798
05037       616.381         17870        1995        4577        6831
05039       667.386          8116        1165        1507        2741
05041       768.152         13008        2227        1915        4226
05043       828.356         18509        2364        3967        6552
05045       647.884        113237       14525       29170       46364
05047       608.857         18125        1376        5034        6698
